-2.805	9.113	0.172	0.348	0.088	0.012	65522	108	65464
-2.572	11.311	-1.053	0.252	0.259	0.162	23	117	65457
-1.677	10.793	0.507	0.161	0.231	0.186	23	117	65457
0.013	11.804	0.092	0.085	0.091	0.371	23	117	65457
-2.428	10.287	1.423	0.349	0.228	0.415	23	117	65457
-1.289	10.121	-3.172	0.559	0.328	0.071	23	117	65457
2.124	10.74	-1.926	0.329	0.142	0.116	12	106	65458
3.912	10.699	0.166	0.156	0.484	0.016	12	106	65458
0.058	6.748	0.77	0.138	0.289	0.039	12	106	65458
4.322	9.358	-2.432	0.037	0.256	0.056	12	106	65458
2.981	5.892	-1.831	0.124	0.166	0.131	12	106	65458
1.678	8.179	-1.302	0.282	0.112	0.159	65529	95	65461
2.26	9.36	0.912	0.314	0.316	0.011	65529	95	65461
1.731	9.184	0.821	0.234	0.389	0.066	65529	95	65461
1.005	10.098	-1.24	0.178	0.349	0.084	65529	95	65461
0.623	8.036	0.347	0.132	0.253	0.305	65529	95	65461
0.568	8.917	0.007	0.068	0.055	0.454	23	111	65443
2.213	5.493	-1.555	0.165	0.228	0.411	23	111	65443
-2.373	13.049	-7.496	0.08	0.129	0.005	23	111	65443
-6.647	4.179	-2.578	0.148	0.253	0.119	23	111	65443
0.438	9.73	-1.183	0.1	0.137	0.024	23	111	65443
-1.993	8.216	-1.423	0.166	0.172	0.032	65523	99	65461
-4.638	13.33	-1.587	0.016	0.201	0.016	65523	99	65461
0.057	12.063	0.269	0.055	0.051	0.175	65523	99	65461
-2.99	10.281	0.949	0.359	0.105	0.082	65523	99	65461
-3.585	9.029	-1.71	0.308	0.203	0.075	65523	99	65461
-1.223	10.43	-1.177	0.012	0.182	0.235	65529	127	65465
0.229	7.345	-1.394	0.245	0.089	0.461	65529	127	65465
0.213	8.755	1.018	0.41	0.195	0.448	65529	127	65465
1.024	16.44	-1.814	0.556	0.18	0.052	65529	127	65465
1.978	6.927	-1.807	0.425	0.253	0.148	65529	113	65459
2.07	9.516	-1.504	0.333	0.492	0.042	65529	113	65459
1.083	7.099	0.439	0.245	0.383	0.093	65529	113	65459
3.936	12.284	-1.531	0.101	0.441	0.038	65529	113	65459
2.13	9.941	0.529	0.045	0.295	0.118	65529	113	65459
1.197	8.416	-1.35	0.141	0.002	0.148	11	97	65453
2.173	9.437	-1.145	0.169	0.14	0.069	11	97	65453
1.733	9.259	0.584	0.16	0.26	0.118	11	97	65453
1.013	9.647	-2.018	0.07	0.242	0.123	11	97	65453
1.578	7.295	0.172	0.086	0.163	0.328	11	97	65453
-1.373	9.006	0.568	0.002	0.096	0.432	23	125	65445
0.82	10.333	0.016	0.243	0.194	0.336	23	125	65445
-4.412	12.455	-4.09	0.187	0.18	0.079	23	125	65445
-3.798	7.651	0.355	0.223	0.344	0.203	23	125	65445
-1.736	6.454	-1.391	0.11	0.408	0.045	23	125	65445
-3.639	9.712	-1.424	0.07	0.479	0.012	20	94	65452
-3.629	12.306	0.276	0.242	0.29	0.032	20	94	65452
-1.215	11.404	0.975	0.381	0.002	0.003	20	94	65452
-1.85	10.884	0.049	0.614	0.073	0.026	20	94	65452
-1.435	7.975	0.699	0.671	0.073	0.147	20	94	65452
-2.482	9.568	-1.68	0.702	0.058	0.144	65522	114	65474
-3.581	8.125	-3.392	0.65	0.058	0.239	65522	114	65474
-3.636	5.623	-3.265	0.41	0.043	0.401	65522	114	65474
0.251	8.117	-1.528	0.188	0.16	0.419	65522	114	65474
1.28	15.793	-5.034	0.035	0.321	0.132	65522	114	65474
5.069	11.457	-2.189	0.243	0.478	0.089	65517	105	65465
