-1.75	8.792	1.857
-1.272	9.083	1.741
0.989	8.979	1.691
0.805	8.929	1.774
-1.128	9.421	1.939
-1.34	9.527	2.094
-1.519	9.196	2.039
-1.229	9.411	1.942
-1.292	9.73	2.005
-1.535	9.73	1.75
-1.556	9.41	1.213
-1.419	9.063	1.13
-1.296	9.07	1.569
0.992	9.24	1.663
-1.195	9.148	1.777
-1.715	9.002	1.662
-1.776	8.991	1.46
-1.811	9.3	1.504
-1.847	9.634	1.687
-1.741	9.841	1.625
-1.437	9.318	1.954
-1.484	9.434	1.872
-1.769	9.557	1.504
-1.437	9.002	1.485
-1.186	8.681	1.446
-1.466	9.02	1.319
-1.511	9.476	1.347
-1.478	9.436	1.395
-1.315	8.936	1.233
-1.069	9.004	1.148
-1.13	8.84	0.785
-1.089	8.699	0.708
0.787	8.853	0.679
0.621	8.76	0.548
0.545	8.547	0.464
0.554	8.558	0.122
0.08	7.886	0.332
0.266	7.131	0.527
0.573	6.637	0.922
0.805	6.597	-1.476
0.487	6.461	-1.331
0.277	6.46	-2.036
0.654	5.177	-2.454
0.991	3.801	-2.112
1.449	4.089	-2.048
0.936	7.568	-3.799
1.545	8.165	-3.211
4.295	7.244	-2.196
2.618	8.401	-3.646
1.709	8.368	-2.885
2.78	8.036	-3.622
3.669	9.003	-5.046
3.931	9.914	-4.639
4.171	8.255	-3.875
2.782	7.182	-5.124
2.996	8	-6.143
3.139	9.873	-6.53
3.477	8.78	-3.973
3.106	6.661	-3.26
3.133	6.801	-6.271
3.745	6.594	-5.359
3.397	6.393	-3.904
3.184	6.4	-4.058
4.305	5.778	-5.846
7.888	6.767	-6.238
6.725	6.283	-5.436
5.397	9.379	-9.175
8.267	8.962	-8.689
5.735	8.152	-4.775
4.566	3.427	-1.766
3.685	4.626	-8.969
5.08	6.341	-5.882
6.351	6.991	0.866
3.624	5.591	-4.574
2.173	6.791	-4.449
3.508	7.72	-4.207
2.438	2.734	-2.1
-3.166	2.547	-3.993
0.243	3.513	-1.935
11.563	3.195	1.005
15.507	3.71	-2.846
13.575	9.218	2.711
19.134	15.368	1.916
19.612	17.421	2.568
19.612	14.919	7.909
19.612	12.261	3.939
16.687	8.376	7.969
15.544	5.57	6.812
13.281	1.865	2.887
10.528	0.523	1.963
8.955	0.223	3.386
8.113	-2.049	5.88
5.664	-2.175	2.254
4.165	-1.335	0.254
6.127	-1.497	1.114
8.124	-2.126	2.208
6.299	-1.487	1.449
5.145	0.581	0.011
6.49	0.508	0.683
7.035	0.69	0.136
8.274	0.937	0.557
9.411	0.368	0.238
11.348	2.426	0.52
12.2	2.847	0.792
11.935	2.25	1.106
11.59	2.84	1.339
12.134	3.4	0.707
10.917	3.288	1.058
9.952	2.814	1.813
9.695	1.844	1.727
9.294	1.78	0.365
8.999	1.859	0.108
10.036	1.351	0.028
8.955	1.132	-1.007
8.158	2.005	0.933
9.461	2.055	0.609
10.624	1.665	-1.552
10.911	1.398	-1.205
10.301	3.143	-1.467
10.459	4.334	-1.339
10.942	3.764	-1.373
