-6.574	6.643	0.134
-1.155	11.955	0.271
-3.409	8.835	-1.719
-5.002	11.192	-2.256
-3.027	9.479	0.366
-1.918	8.963	0.951
-2.135	12.333	-1.083
0.719	10.409	0.141
2	7.957	0.59
-2.785	8.231	-2.141
1.574	11.908	0.537
5.465	11.287	0.846
1.206	7.025	0.557
0.879	10.01	-2.142
4.503	13.171	0.725
1.253	7.76	-2.582
0.853	9.265	0.927
1.234	10.33	0.22
0.788	10.108	0.96
0.901	10.739	0.967
0.281	5.761	0.274
-1.833	6.228	0.582
1.339	17.07	0.735
0.278	14.187	-4.935
-5.13	10.218	1.455
0.135	13.077	-1.282
-4.934	9.901	-3.326
-3.758	6.897	-1.812
-1.736	10.351	-2.865
-3.256	8.425	0.331
-2.547	11.645	-1.423
-2.201	9.822	-1.493
0.168	10.52	0.891
1.781	10.348	1.398
-3.598	10.699	-2.128
3.224	12.702	-1.878
4.382	10.32	0.316
0.393	7.368	-1.231
1.632	10.82	-1.771
2.857	11.353	0.731
1.321	10.767	-1.689
1.078	9.046	0.79
0.932	9.242	-1.051
0.177	9.498	0.671
0.823	10.365	-1.027
0.134	6.647	0.556
-1.018	5.13	0.09
5.184	8.188	-3.811
-3.414	15.783	-2.588
-4.504	10.181	2.328
-1.568	11.048	-2.759
-3.592	10.223	-1.538
-3.189	7.109	-3.154
-3.13	11.065	-2.036
-2.355	9.601	0.369
-2.167	10.584	-1.326
0.421	9.156	0.89
1.697	11.524	0.918
-5.923	2.882	-4.644
1.735	10.56	-2.363
6.239	8.814	-1.215
2.111	5.804	-3.593
0.465	5.819	-1.26
2.944	12.916	0.608
3.398	9.921	-1.48
0.66	12.721	-1.046
1.817	9.898	-2
0.894	9.156	0.843
0.258	11.417	-1.012
0.371	9.773	0.585
0.782	6.478	-1.408
0.116	4.327	0.695
3.181	2.203	-8.225
-1.218	16.166	-3.095
-7.491	9.266	-1.376
-2.516	6.092	-4.011
-4.414	8.644	-4.744
-3.167	5.273	-4.21
-2.136	11.392	0.617
-2.384	10.198	0.743
0.633	12.288	-4.776
-3.332	12.78	-1.556
1.441	16.372	0.065
-3.578	7.375	-6.172
-3.32	8.777	-2.935
4.208	11.455	-2.158
1.742	10.366	0.539
0.701	10.53	-3.199
1.572	10.172	-1.563
2.056	9.909	-2.219
1.994	11.966	-1.483
0.497	8.698	0.095
0.652	8.273	0.483
0.417	7.796	0.989
0.38	6.678	1.921
-2.184	4.803	0.415
-1.333	9.768	1.624
-2.693	9.434	3.125
0.385	7.371	1.594
-3.034	8.426	2.315
-3.092	9.181	0.958
-4.678	13.299	3.928
0.013	12.514	3.075
0.744	2.628	0.536
3.062	8.816	4.703
0.872	4.019	2.103
1.557	4.089	5.143
0.893	6.056	5.931
0.366	1.792	6.142
-1.417	1.412	6.08
-4.232	0.628	6.321
1.06	3.258	7.078
2.721	2.115	7.01
4.513	0.648	8.577
9.024	0.098	5.208
-3.769	2.772	6.81
-1.771	6.062	7.442
8.282	1.636	13.821
8.772	4.112	13.419
5.724	-6.763	13.497
1.253	-2.572	12.371
2.308	-2.455	13.849
-5.307	1.169	15.458
5.131	-3.985	18.52
-3.286	0.187	16.072
-1.25	-1.243	1.233
0.69	-14.736	6.685
1.868	-7.761	8.657
-3.901	-2.298	8.988
0.512	-1.064	7.831
3.892	5.421	4.623
1.28	4.835	9.85
1.158	6.013	8.973
0.853	4.384	5.999
1.574	5.038	5.716
0.974	4.951	5.795
-1.594	3.73	6.111
-3.338	2.76	6.921
-4.104	4.6	7.637
-3.418	0.529	6.422
0.719	2.77	7.818
0.902	3.062	8.613
0.707	0.676	9.369
0.096	-1.083	9.543
1.412	1.454	10.523
4.45	0.914	11.866
3.792	0.594	11.513
1.51	0.957	11.312
0.239	0.076	11.026
0.071	-1.151	9.599
0.458	0.478	10.886
1.438	0.559	10.573
0.746	0.544	9.627
0.069	1.048	9.587
0.02	1.24	9.194
0.005	1.478	9.193
0.247	1.379	9.096
0.427	1.12	9.247
0.705	1.114	9.471
0.743	1.048	9.573
0.52	0.9	9.744
0.147	0.672	9.817
0.095	0.651	9.961
0.058	0.729	9.923
0.156	0.787	9.843
0.059	0.567	9.927
0.111	0.556	9.955
0.232	0.739	9.691
0.047	0.98	9.73
0.069	0.822	9.599
0.326	0.906	9.482
0.308	1.082	9.355
0.316	1.074	9.44
0.228	0.787	9.46
0.201	1.091	9.5
0.122	1.015	9.413
0.159	1.036	9.643
0.22	0.696	9.673
0.228	0.77	9.678
0.304	0.901	9.665
0.18	0.864	9.61
0.143	0.671	9.494
0.138	0.881	9.569
0.005	1.019	9.538
0.023	0.855	9.571
0.016	0.767	9.574
0.112	0.943	9.563
0.142	0.989	9.625
0.061	0.823	9.507
0.037	0.622	9.637
0.131	0.782	9.526
0.089	0.901	9.521
0.173	0.666	9.581
0.098	0.578	9.695
0.152	0.757	9.549
0.075	0.737	9.677
0.047	0.434	9.741
0.027	0.229	9.865
0.199	0.312	10.04
0.289	0.254	9.971
