4.705	9.977	0.203	0.494	0.8	0.196	3	101	65453
2.601	9.07	-1.705	0.544	0.639	0.07	3	101	65453
1.807	7.088	-1.812	0.298	0.255	0.106	3	101	65453
4.231	11.709	0.453	0.042	0.019	0.184	3	101	65453
1.899	10.816	0.988	0.056	0.148	0.071	3	101	65453
2.127	9.378	-1.298	0.13	0.305	0.019	65510	96	65476
2.026	10.109	0.177	0.207	0.445	0.09	65510	96	65476
1.538	10.242	0.824	0.156	0.413	0.05	65510	96	65476
0.417	10.125	-1.306	0.111	0.197	0.078	65510	96	65476
1.025	6.33	0.05	0.033	0.074	0.324	65510	96	65476
-2.281	9.588	2.063	0.121	0.071	0.375	11	103	65457
2.258	15.297	-1.561	0.217	0.267	0.246	11	103	65457
-2.885	14.885	0.359	0.163	0.288	0.183	11	103	65457
-5.198	7.098	-1.787	0.158	0.357	0.067	11	103	65457
-1.638	8.845	-1.928	0.072	0.202	0.078	11	103	65457
-4.473	9.149	-3.171	0.045	0.163	0.023	4	80	65462
-5.726	11.507	0.172	0.125	0.015	0.053	4	80	65462
-1.75	11.264	-3.068	0.329	0.239	0.032	4	80	65462
0.335	9.84	0.679	0.473	0.289	0.1	4	80	65462
-2.364	8.908	0.873	0.326	0.205	0.25	4	80	65462
0.851	12.219	-2.09	0.14	0.103	0.265	30	120	65448
-1.471	9.671	-1.055	0.084	0.047	0.455	30	120	65448
3.995	10.068	0.432	0.315	0.088	0.634	30	120	65448
-3.946	17.187	0.032	0.428	0.11	0.401	30	120	65448
4.367	13.339	-2.104	0.364	0.723	0.076	30	120	65448
4.383	8.044	-1.437	0.459	0.704	0.122	4	104	65460
1.747	6.91	-2.205	0.399	0.391	0.07	4	104	65460
2.513	10.236	-1.386	0.17	0.126	0.119	4	104	65460
5.09	10.49	0.638	0.033	0.054	0.049	4	104	65460
2.596	10.638	-1.126	0.065	0.249	0.195	4	104	65460
1.236	8.692	-2.161	0.135	0.49	0.1	65502	96	65486
2.774	8.501	0.77	0.234	0.515	0.024	65502	96	65486
1.073	10.819	0.123	0.185	0.426	0.021	65502	96	65486
0.271	10.931	0.584	0.019	0.163	0.047	65502	96	65486
0.351	6.64	0.957	0.141	0.03	0.295	65502	96	65486
0.153	7.472	0.97	0.263	0.14	0.411	19	113	65461
2.846	6.572	-3.78	0.332	0.192	0.399	19	113	65461
-4.475	18.062	-2.715	0.122	0.138	0.102	19	113	65461
-6.355	8.303	0.621	0.24	0.257	0.132	19	113	65461
0.077	10.245	-1.389	0.103	0.157	0.13	19	113	65461
